epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3945.24,0.99951,1.98889,1.40081,0.89859,0.85271,0.92363,0.64729,1.05398,1.36967,1.43417,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,4059.15,0.99488,1.99047,1.40006,0.91748,0.84609,0.92341,0.6476,1.05923,1.36635,1.44033,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,4176.61,0.98144,1.95042,1.38728,0.91041,0.84703,0.92531,0.64754,1.05119,1.34152,1.43699,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,4297.03,0.982,1.93879,1.38834,0.90379,0.87204,0.92924,0.65008,1.05614,1.33646,1.43632,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,4417.58,0.97541,1.9214,1.38422,0.91431,0.86346,0.93068,0.65492,1.04352,1.30196,1.42819,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,4537.86,0.97268,1.91802,1.38463,0.91677,0.86591,0.93279,0.65629,1.04754,1.30141,1.43124,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,4656.25,0.97204,1.88691,1.3816,0.90675,0.86752,0.93195,0.65397,1.04395,1.30352,1.42843,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,4770.59,0.95806,1.84972,1.37128,0.92948,0.86439,0.93351,0.65589,1.04197,1.29667,1.42697,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,4889.43,0.95405,1.83459,1.36495,0.9128,0.86237,0.93214,0.6502,1.04511,1.29156,1.4252,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,5018.57,0.84292,1.1435,1.31918,0.93621,0.84982,0.93406,0.6573,1.02915,1.26777,1.41051,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,5132.4,0.82927,1.08425,1.30449,0.93113,0.85284,0.93186,0.65876,1.02361,1.26193,1.40626,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
